name,food,score,link
广东最经典的汤，煲出浓郁的汤色和口感,猪筒骨、玉米、胡萝卜、淮山、生姜、葱、盐,8.4,http://www.xiachufang.com/recipe/103911091/
鲜美豆腐汤的简单做法,鸡蛋、嫩豆腐、海鲜菇、盐、蚝油、生抽、蒜、葱花,7.4,http://www.xiachufang.com/recipe/104176034/
鲜到起飞的菌菇汤！不好喝不要钱！,平菇、杏鲍菇、香菇、口蘑、褐菇、茶树菇、海鲜菇、金针菇、虫草花、姜、枸杞、茶籽油、盐、温水,8.1,http://www.xiachufang.com/recipe/104175781/
零基础暖胃胡辣汤,淀粉、胡椒粉、盐、葱、姜、生抽、醋、香菜、火腿丝、海带丝、百叶,7.7,http://www.xiachufang.com/recipe/104185746/
三鲜汤（饭）,海鲜菇、菠菜、火腿肠、鸡蛋、葱、姜、耙豌豆、米饭、盐、鸡精,10,http://www.xiachufang.com/recipe/104256479/
姬松茸炖鸡汤,姬松茸、鸡、无花果、红枣、姜、枸杞,0,http://www.xiachufang.com/recipe/104584727/
海带汤高钙防癌长高汤零基础,干海带、猪头半个、羊肚菌、黄豆、白胡椒粒、八角、生姜,8,http://www.xiachufang.com/recipe/103822139/
西红柿菌菇豆腐汤,西红柿（也叫番茄）、鸡蛋、金针菇、香菇、豆腐、香菜,7.4,http://www.xiachufang.com/recipe/103974513/
鲜掉眉毛口蘑汤,口蘑、葱、盐、适用油,8.1,http://www.xiachufang.com/recipe/104114984/
芙蓉鲜蔬汤,胡萝卜、菠菜、食用油、盐,7.7,http://www.xiachufang.com/recipe/104387280/
连吃三碗的玉米山药排骨汤,排骨、玉米、山药、胡萝卜、枣子、姜，葱段、盐、料酒,8.3,http://www.xiachufang.com/recipe/104231806/
牛肉汤,牛肉、红薯粉、香菜、葱、小米椒、生姜,8.5,http://www.xiachufang.com/recipe/104057139/
虾仁豆腐羹|鲜掉下巴,内酯豆腐、虾仁、干贝、豌豆、葱花、姜、糖、盐、食用油、料酒、淀粉、热水,8.2,http://www.xiachufang.com/recipe/104309519/
黄骨鱼豆腐汤,黄骨鱼、嫩豆腐、姜、葱、盐，花生油,9.1,http://www.xiachufang.com/recipe/103999413/
鲜虾冬瓜羹～(￣▽￣～)~夏日消暑减脂圣品,冬瓜、干贝、香菇、瘦肉、胡萝卜、鸡蛋、青豆（豌豆）、鲜虾、香菜、马蹄粉、盐、姜、拌肉调味料：、生抽、白糖、料酒、玉米淀粉、食用油,9.2,http://www.xiachufang.com/recipe/104014029/
【海菇豆腐汤】,嫩豆腐、海鲜菇、鸡蛋、蚝油、生抽、花生油、温开水、盐、葱花,0,http://www.xiachufang.com/recipe/104595209/
罗宋汤-永不出错的版本,西红柿、土豆、包心菜、肉类、现磨黑胡椒、盐,7.6,http://www.xiachufang.com/recipe/104165062/
韩国海带汤,海带（裙带）、香油、蒜末、生抽、牛肉、盐,8.6,http://www.xiachufang.com/recipe/103849179/
老妈蹄花汤,猪蹄1只、芸豆1碗、小葱1把、花椒10+颗、小米辣2个、豆豉10颗、鸡精1/3勺、花椒粉1/2勺,9.0,http://www.xiachufang.com/recipe/104173986/
一碗漂亮又鲜嫩无比的基础蛋花汤,高汤或清水、鸡蛋、土豆淀粉、盐或者糖,8.0,http://www.xiachufang.com/recipe/103922153/
口蘑豆腐汤,口蘑、嫩豆腐、小葱、盐、糖、生抽、胡椒粉、蒜末、油、清水、芝麻油,8.9,http://www.xiachufang.com/recipe/103853247/
韩式大酱汤,卤水豆腐、西葫芦、鱼饼、香菇、土豆、蒜末、大酱、辣椒酱、淘米水、青辣椒、鱼露,8.4,http://www.xiachufang.com/recipe/104048847/
鲜到让人起飞的菠菜汤,豆腐、菠菜、葱花、盐、蚝油、五花肉,7,http://www.xiachufang.com/recipe/104227197/
番茄肥牛汤,肥牛卷、西红柿、盐、蒜、姜、葱、白胡椒粉、生抽、蚝油,7.7,http://www.xiachufang.com/recipe/104134159/
奶油蘑菇汤一人份牛奶版,新鲜口蘑、鸡胸肉、牛奶、蒜、黄油、盐、胡椒粉、面粉、水,8.4,http://www.xiachufang.com/recipe/104079448/
宝宝开胃消食解毒汤,山楂、苹果、雪梨、红枣、甘草片、冰糖、枸杞,0,http://www.xiachufang.com/recipe/104594393/
